flow [gpm]	head [ft]	speed [Hz]
7.856	66.774	35.000
8.087	66.746	35.000
8.318	66.716	35.000
8.550	66.682	35.000
8.781	66.646	35.000
9.012	66.606	35.000
9.243	66.563	35.000
9.474	66.517	35.000
9.705	66.466	35.000
9.936	66.411	35.000
10.167	66.352	35.000
10.398	66.289	35.000
10.629	66.220	35.000
10.860	66.147	35.000
11.091	66.068	35.000
11.322	65.984	35.000
11.553	65.893	35.000
11.785	65.797	35.000
12.016	65.694	35.000
12.247	65.585	35.000
12.478	65.469	35.000
12.709	65.345	35.000
12.940	65.214	35.000
13.171	65.074	35.000
13.402	64.927	35.000
13.633	64.771	35.000
13.864	64.606	35.000
14.095	64.432	35.000
14.326	64.248	35.000
14.557	64.055	35.000
14.788	63.851	35.000
15.019	63.636	35.000
15.251	63.410	35.000
15.482	63.172	35.000
15.713	62.923	35.000
15.944	62.661	35.000
16.175	62.387	35.000
16.406	62.100	35.000
16.637	61.799	35.000
16.868	61.483	35.000
17.099	61.154	35.000
17.330	60.809	35.000
17.561	60.449	35.000
17.792	60.074	35.000
18.023	59.682	35.000
18.254	59.273	35.000
18.486	58.846	35.000
18.717	58.402	35.000
18.948	57.940	35.000
19.179	57.458	35.000
19.410	56.958	35.000
19.641	56.437	35.000
19.872	55.896	35.000
20.103	55.334	35.000
20.334	54.750	35.000
20.565	54.144	35.000
20.796	53.516	35.000
21.027	52.864	35.000
21.258	52.188	35.000
21.489	51.488	35.000
21.720	50.763	35.000
21.952	50.011	35.000
22.183	49.234	35.000
22.414	48.429	35.000
22.645	47.597	35.000
22.876	46.737	35.000
0.000	49.212	30.000
0.198	49.212	30.000
0.396	49.212	30.000
0.594	49.212	30.000
0.792	49.212	30.000
0.990	49.212	30.000
1.188	49.212	30.000
1.386	49.212	30.000
1.584	49.212	30.000
1.783	49.211	30.000
1.981	49.211	30.000
2.179	49.211	30.000
2.377	49.210	30.000
2.575	49.209	30.000
2.773	49.208	30.000
2.971	49.207	30.000
3.169	49.206	30.000
3.367	49.204	30.000
3.565	49.202	30.000
3.763	49.199	30.000
3.961	49.196	30.000
4.159	49.192	30.000
4.357	49.188	30.000
4.555	49.183	30.000
4.753	49.177	30.000
4.951	49.171	30.000
5.150	49.163	30.000
5.348	49.154	30.000
5.546	49.145	30.000
5.744	49.134	30.000
5.942	49.122	30.000
6.140	49.108	30.000
6.338	49.093	30.000
6.536	49.077	30.000
6.734	49.058	30.000
6.932	49.038	30.000
7.130	49.016	30.000
7.328	48.991	30.000
7.526	48.964	30.000
7.724	48.935	30.000
7.922	48.904	30.000
8.120	48.869	30.000
8.318	48.832	30.000
8.517	48.792	30.000
8.715	48.749	30.000
8.913	48.702	30.000
9.111	48.652	30.000
9.309	48.598	30.000
9.507	48.540	30.000
9.705	48.478	30.000
9.903	48.411	30.000
10.101	48.341	30.000
10.299	48.265	30.000
10.497	48.185	30.000
10.695	48.099	30.000
10.893	48.008	30.000
11.091	47.912	30.000
11.289	47.810	30.000
11.487	47.702	30.000
11.685	47.587	30.000
11.884	47.466	30.000
12.082	47.338	30.000
12.280	47.203	30.000
12.478	47.061	30.000
12.676	46.911	30.000
12.874	46.753	30.000
13.072	46.587	30.000
13.270	46.412	30.000
13.468	46.229	30.000
13.666	46.037	30.000
13.864	45.835	30.000
14.062	45.624	30.000
14.260	45.403	30.000
14.458	45.171	30.000
14.656	44.929	30.000
14.854	44.676	30.000
15.052	44.412	30.000
15.251	44.136	30.000
15.449	43.848	30.000
15.647	43.547	30.000
15.845	43.234	30.000
16.043	42.908	30.000
16.241	42.568	30.000
16.439	42.214	30.000
16.637	41.847	30.000
16.835	41.464	30.000
17.033	41.067	30.000
17.231	40.654	30.000
17.429	40.225	30.000
17.627	39.780	30.000
17.825	39.318	30.000
18.023	38.839	30.000
18.221	38.342	30.000
18.419	37.828	30.000
18.618	37.295	30.000
18.816	36.743	30.000
19.014	36.172	30.000
19.212	35.581	30.000
19.410	34.969	30.000
19.608	34.337	30.000
